"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Southern","SM1","2023-09-21","1","Surface Water","0.4","<0.005","1.1","132","8.5","<1","<1","<0.002","<0.002","<0.002","7.9","1.3","31.8","5.1","0.16","4.3","29","<0.01","0.08","0.08","0.06","1.9","<0.001","0.9"
"Southern","SM1","2023-09-21","1","Middle Water","0.4","0.008","2.5","118","7.8","<1","<1","0.006","<0.002","<0.002","7.9","1.2","32.5","5.1","0.18","1.6","27.7","0.02","0.13","0.14","0.07","2.6","<0.001","0.7"
"Southern","SM1","2023-09-21","1","Bottom Water","0.3","0.015","3.2","88","5.8","1","2","0.017","0.003","<0.002","7.8","1.9","32.9","5.1","0.5","4.6","27.1","0.04","0.11","0.13","0.07","4","<0.001","0.9"
"Southern","SM1","2023-10-05","1","Surface Water","0.8","0.024","1.9","80","5.1","<1","1","<0.002","<0.002","<0.002","7.8","<0.2","32.4","4.5","0.35","6.1","29.6","0.03","0.09","0.09","0.05","2.4","<0.001","2.1"
"Southern","SM1","2023-10-05","1","Middle Water","0.4","0.011","2","93","6","<1","<1","0.005","<0.002","<0.002","7.8","<0.2","32.6","4.5","0.35","7.7","29.4","0.02","0.14","0.15","0.05","2.8","<0.001","2.1"
"Southern","SM1","2023-10-05","1","Bottom Water","0.3","0.013","0.7","87","5.6","1","9","<0.002","<0.002","<0.002","7.8","<0.2","32.7","4.5","0.38","6.2","29.4","0.02","0.17","0.17","0.05","2.3","<0.001","2"
"Southern","SM1","2023-11-03","1","Surface Water","0.8","<0.005","3","92","6.2","1","1","<0.002","<0.002","<0.002","7.9","2.7","32.6","3.4","0.11","6.1","26.2","<0.01","0.15","0.15","0.03","1.3","<0.001","1.9"
"Southern","SM1","2023-11-03","1","Middle Water","0.7","<0.005","3.4","115","7.7","1","1","<0.002","<0.002","<0.002","7.9","2.3","32.6","3.4","0.12","6.3","26.3","<0.01","0.22","0.22","0.04","1.2","<0.001","1.9"
"Southern","SM1","2023-11-03","1","Bottom Water","0.5","<0.005","5","105","7.1","<1","<1","0.005","<0.002","0.004","7.8","2.6","32.7","3.4","0.12","3.6","26.1","0.01","0.15","0.16","0.03","1.1","<0.001","1.4"
"Southern","SM1","2023-12-12","1","Surface Water","1","0.018","8.2","90","6.3","4","11","0.042","0.028","0.006","8.1","<0.2","33.1","2.7","0.45","2.1","23.4","0.09","0.18","0.25","0.07","0.2","<0.001","1.1"
"Southern","SM1","2023-12-12","1","Middle Water","1.1","0.018","6.9","102","7.2","4","9","0.039","0.024","0.006","8.1","0.7","33.1","2.7","0.43","2","23.1","0.08","0.22","0.28","0.18","0.3","<0.001","0.8"
"Southern","SM1","2023-12-12","1","Bottom Water","0.8","0.03","3.9","102","7.2","14","24","0.035","0.022","0.005","8.1","1.3","33.1","2.7","0.43","2.4","23.1","0.09","0.19","0.25","0.06","0.3","0.001","0.9"
"Southern","SM10","2023-01-11","1","Surface Water","0.5","0.11","2.1","73","5.7","66","95","0.12","0.035","0.018","7.7","<0.2","33","2","1.1","9","18.4","0.27","0.68","0.84","0.08","5.8","0.002","1.6"
"Southern","SM10","2023-01-11","1","Bottom Water","0.5","0.1","1.2","86","6.6","69","91","0.11","0.033","0.018","7.7","0.9","33","2","0.95","12","18.4","0.24","0.62","0.76","0.09","4.6","0.001","1.6"
"Southern","SM10","2023-02-01","1","Surface Water","1.2","0.047","9.9","95","7.5","10","16","0.15","0.013","0.014","7.9","1.3","33.1","3.3","0.27","2.2","17.2","0.21","0.72","0.88","0.05","1.2","0.001","0.6"
"Southern","SM10","2023-02-01","1","Bottom Water","1.2","0.091","8.9","116","9.3","10","19","0.14","0.014","0.014","7.9","1.8","32.7","3.3","0.27","3","16.9","0.25","0.75","0.9","0.05","1.4","0.002","0.9"
"Southern","SM10","2023-03-03","1","Surface Water","0.6","0.18","0.2","77","5.8","8","22","0.15","0.009","0.019","7.6","<0.2","33","4","0.86","1.4","19.3","0.34","0.79","0.95","0.06","0.1","0.002","0.6"
"Southern","SM10","2023-03-03","1","Bottom Water","0.7","0.18","0.4","85","6.5","15","23","0.19","0.009","0.027","7.6","<0.2","33","4","0.83","2","19.3","0.38","0.82","1.02","0.07","2.6","0.002","<0.5"
"Southern","SM10","2023-04-06","1","Surface Water","0.3","0.18","<0.2","70","5","15","16","0.16","0.012","0.027","7.4","<0.2","32.6","2.6","1.1","4.1","22.3","0.35","0.48","0.65","0.09","2.5","0.002","0.6"
"Southern","SM10","2023-04-06","1","Bottom Water","0.2","0.21","1.1","82","5.9","15","25","0.15","0.012","0.031","7.4","<0.2","32.6","2.6","1.1","7","22.1","0.37","0.35","0.51","0.08","3.4","0.002","0.7"
"Southern","SM10","2023-05-04","1","Surface Water","0.6","0.045","1.1","87","6","<1","2","0.11","0.01","<0.002","7.8","0.3","32.3","3.1","0.19","8.6","25.1","0.17","0.47","0.59","0.04","2","0.001","1.4"
"Southern","SM10","2023-05-04","1","Bottom Water","0.6","0.054","0.4","102","7","<1","2","0.084","0.005","<0.002","7.8","0.7","32.3","3.1","0.2","7.8","24.7","0.14","0.42","0.51","0.04","2","0.001","1"
"Southern","SM10","2023-06-19","1","Surface Water","0.6","0.068","2.6","63","4.2","31","100","0.34","0.087","0.015","8","0.7","27.3","2.2","1.9","3.2","28.2","0.5","0.4","0.83","0.05","2","0.004","1.9"
"Southern","SM10","2023-06-19","1","Bottom Water","1.1","0.064","1.7","57","3.8","72","110","0.33","0.09","0.011","7.9","0.6","27.5","2.2","2.1","3.8","28","0.48","0.43","0.85","0.04","2","0.003","1.8"
"Southern","SM10","2023-07-24","1","Surface Water","2.8","0.025","28","119","7.7","2","17","0.083","0.007","0.005","8.3","6.7","29.1","1.7","0.37","5.9","29.2","0.12","0.65","0.74","0.05","3.6","0.003","2.9"
"Southern","SM10","2023-07-24","1","Bottom Water","1.8","0.032","26","143","9.3","2","11","0.099","0.009","0.003","8.2","5","29.3","1.7","0.46","6","28.8","0.14","0.72","0.83","0.06","3.8","0.003","2.4"
"Southern","SM10","2023-08-18","1","Surface Water","1","0.046","8.7","110","7.4","<1","2","0.29","0.059","0.004","8","2.5","29.1","2.2","1.6","3.2","27.5","0.4","0.19","0.54","0.03","11.7","0.002","1.5"
"Southern","SM10","2023-08-18","1","Bottom Water","1","0.078","6.8","126","8.5","<1","4","0.24","0.058","0.004","7.9","3","29.3","2.2","2","2.8","27.5","0.38","0.17","0.47","0.04","14.6","0.003","2"
"Southern","SM10","2023-09-20","1","Surface Water","0.5","0.057","15","98","6.5","2","6","0.22","0.038","0.002","7.8","6.2","28.3","1.2","1.3","7.6","28.5","0.32","0.24","0.5","0.08","2","0.002","1.3"
"Southern","SM10","2023-09-20","1","Bottom Water","0.4","0.06","26","102","6.8","7","15","0.21","0.036","0.012","7.8","8.2","28.9","1.2","1.4","11","28.2","0.31","0.21","0.46","0.09","1.9","0.002","1.6"
"Southern","SM10","2023-10-20","1","Surface Water","<0.1","0.1","1.1","115","7.8","5","18","0.12","0.032","0.022","7.8","<0.2","30.7","2.1","1.1","7.8","26.4","0.25","0.24","0.39","0.06","7","0.003","1.4"
"Southern","SM10","2023-10-20","1","Bottom Water","<0.1","0.1","0.9","143","9.6","8","13","0.075","0.033","0.023","7.8","<0.2","31.3","2.1","1.2","8.8","26.6","0.21","0.22","0.33","0.1","7","0.003","1.4"
"Southern","SM10","2023-11-02","1","Surface Water","<0.1","0.03","7.2","74","4.9","22","40","0.31","0.084","0.014","7.6","3.8","31.1","1.9","1.1","4.5","26.8","0.42","0.19","0.58","0.06","1.7","<0.001","1.3"
"Southern","SM10","2023-11-02","1","Bottom Water","<0.1","0.02","6.7","96","6.4","15","38","0.18","0.078","0.015","7.6","3.3","31.1","1.9","0.98","3.2","26.7","0.28","0.26","0.52","0.06","2","<0.001","1.1"
"Southern","SM10","2023-12-04","1","Surface Water","1.1","0.055","3.3","79","5.6","<1","1","0.17","0.053","0.009","8.1","0.8","32.2","1.4","0.72","5.2","23","0.28","0.17","0.39","0.1","4.2","0.003","1.4"
"Southern","SM10","2023-12-04","1","Bottom Water","1.2","0.051","2.7","81","5.8","1","1","0.16","0.054","0.013","8.1","1.1","32.2","1.4","0.78","10","23","0.27","0.37","0.58","0.06","5.3","0.002","2.1"
"Southern","SM11","2023-01-11","1","Surface Water","0.4","0.097","1.2","78","6","<1","2","0.12","0.037","0.019","7.3","1.1","33","2.1","0.92","4.7","18.4","0.25","0.64","0.8","0.13","3.4","<0.001","0.7"
"Southern","SM11","2023-01-11","1","Middle Water","0.5","0.098","1.5","87","6.7","1","1","0.11","0.033","0.018","7.3","0.6","33","2.1","0.93","11","18.4","0.24","0.47","0.61","0.14","3.7","<0.001","1.6"
"Southern","SM11","2023-01-11","1","Bottom Water","0.4","0.087","1.7","87","6.7","1","2","0.1","0.033","0.019","7.3","<0.2","33","2.1","0.93","4.5","18.4","0.22","0.46","0.59","0.09","6.6","<0.001","0.6"
"Southern","SM11","2023-02-01","1","Surface Water","1.8","0.031","14","135","10.7","<1","<1","0.052","0.006","<0.002","7.7","2.7","32.7","2.7","0.13","2.6","17.1","0.09","0.69","0.75","0.04","2","<0.001","1"
"Southern","SM11","2023-02-01","1","Middle Water","1.5","0.031","16","140","11.1","1","1","0.076","0.009","<0.002","7.6","2.5","32.7","2.7","0.09","2.4","16.9","0.12","0.75","0.84","0.05","1.1","<0.001","1.2"
"Southern","SM11","2023-02-01","1","Bottom Water","1.7","0.035","15","122","9.7","1","1","0.087","0.009","<0.002","7.6","2.7","32.7","2.7","0.11","3.7","16.8","0.13","0.73","0.83","0.04","2.7","<0.001","1.9"
"Southern","SM11","2023-03-03","1","Surface Water","0.8","0.15","0.4","80","6","<1","<1","0.14","0.009","0.019","7.2","<0.2","33","2.9","0.91","2.2","19.4","0.3","0.67","0.82","0.06","2.1","<0.001","<0.5"
"Southern","SM11","2023-03-03","1","Middle Water","0.7","0.15","0.4","88","6.6","<1","<1","0.14","0.008","0.013","7.2","0.3","33","2.9","0.92","2","19.5","0.3","0.76","0.91","0.06","1.5","<0.001","<0.5"
"Southern","SM11","2023-03-03","1","Bottom Water","0.6","0.15","0.4","90","6.8","1","1","0.15","0.008","0.016","7.3","<0.2","33","2.9","0.93","2.4","19.4","0.31","0.78","0.94","0.07","2.2","<0.001","0.9"
"Southern","SM11","2023-04-06","1","Surface Water","0.3","0.22","1.1","86","6.1","<1","<1","0.14","0.011","0.026","7.1","<0.2","32.7","3.3","1.1","3.4","22.5","0.37","0.64","0.79","0.08","2.4","<0.001","0.5"
"Southern","SM11","2023-04-06","1","Middle Water","0.3","0.19","0.7","84","6.1","1","2","0.14","0.01","0.026","7.1","0.4","32.8","3.3","1.1","2.8","22.2","0.34","0.67","0.82","0.08","1.9","<0.001","<0.5"
"Southern","SM11","2023-04-06","1","Bottom Water","0.3","0.2","0.6","83","6","1","2","0.14","0.01","0.026","7.1","0.7","32.9","3.3","1.1","4.2","22.1","0.35","0.51","0.66","0.08","2.5","<0.001","<0.5"
"Southern","SM11","2023-05-04","1","Surface Water","0.7","0.036","0.6","95","6.6","<1","1","0.069","0.003","<0.002","7.7","0.5","32.4","4.1","0.23","6.8","24.8","0.11","0.56","0.63","0.04","0.9","<0.001","1.1"
"Southern","SM11","2023-05-04","1","Middle Water","0.7","0.022","0.5","106","7.3","<1","<1","0.054","0.004","<0.002","7.7","<0.2","32.5","4.1","0.21","2.1","24.7","0.08","0.27","0.33","0.04","1","<0.001","0.8"
"Southern","SM11","2023-05-04","1","Bottom Water","1","0.058","0.4","107","7.4","1","1","0.052","0.004","<0.002","7.6","0.2","32.5","4.1","0.2","7.8","24.6","0.11","0.45","0.51","0.04","1.4","0.001","1.1"
"Southern","SM11","2023-06-19","1","Surface Water","0.8","0.076","4.4","60","4","1","5","0.26","0.061","0.005","8","0.4","27.7","2.3","1.8","2.2","28.7","0.4","0.41","0.73","0.04","1.1","0.004","1.6"
"Southern","SM11","2023-06-19","1","Middle Water","0.8","0.076","3.6","71","4.7","<1","2","0.25","0.062","0.014","8","0.3","27.8","2.3","1.8","3.2","28.5","0.39","0.46","0.77","0.05","0.8","0.004","2.2"
"Southern","SM11","2023-06-19","1","Bottom Water","1.7","0.084","4.1","76","5.1","2","7","0.26","0.062","<0.002","8","0.8","28","2.3","2","7.1","28","0.41","0.49","0.81","0.05","0.6","0.004","2.3"
"Southern","SM11","2023-07-24","1","Surface Water","2.5","0.028","28","113","7.3","<1","5","0.048","0.003","0.005","8.5","6.9","29","2.2","0.2","5.8","29.8","0.08","0.59","0.64","0.05","3","0.005","3"
"Southern","SM11","2023-07-24","1","Middle Water","2.6","0.025","28","130","8.5","<1","6","0.061","0.003","<0.002","8.4","7.9","29.3","2.2","0.19","5.4","29.1","0.09","0.72","0.78","0.05","2.6","0.003","2.7"
"Southern","SM11","2023-07-24","1","Bottom Water","2.5","0.03","27","81","5.3","<1","1","0.058","0.004","0.003","8.1","4.7","30.4","2.2","0.26","5.7","28.2","0.09","0.78","0.84","0.05","2.5","0.002","3"
"Southern","SM11","2023-08-18","1","Surface Water","1.2","0.045","13","78","5.2","1","4","0.2","0.046","<0.002","8","3.8","29.6","2.5","1.3","7.7","27.6","0.29","0.16","0.41","0.03","11.2","0.002","3"
"Southern","SM11","2023-08-18","1","Middle Water","1","0.1","6.6","92","6.2","<1","1","0.16","0.049","0.012","8","3.2","30","2.5","2.1","12","27.6","0.31","0.19","0.4","0.04","13.4","0.005","2.8"
"Southern","SM11","2023-08-18","1","Bottom Water","1.5","0.14","5.8","43","2.9","2","3","0.13","0.052","0.026","7.8","4.9","31.3","2.5","2.8","18","26.7","0.32","0.26","0.44","0.06","16.8","0.004","7.4"
"Southern","SM11","2023-09-20","1","Surface Water","1.5","0.036","26","127","8.3","1","3","0.11","0.026","<0.002","8.1","4.9","27.9","1.6","0.38","3.1","29.3","0.17","0.37","0.51","0.08","2.4","0.003","1.2"
"Southern","SM11","2023-09-20","1","Middle Water","1.2","0.044","28","187","12.3","5","16","0.12","0.023","<0.002","8","11","29","1.6","0.55","4.5","28.5","0.19","0.38","0.52","0.08","2","0.002","1.5"
"Southern","SM11","2023-09-20","1","Bottom Water","1.5","0.036","19","114","7.6","5","15","0.13","0.024","<0.002","7.8","8.6","30.2","1.6","0.69","5.1","27.9","0.19","0.28","0.43","0.08","3","0.001","1.4"
"Southern","SM11","2023-10-20","1","Surface Water","0.3","0.087","1.9","112","7.5","<1","1","0.067","0.03","0.018","7.9","<0.2","30.6","2.3","0.96","4.9","26.6","0.18","0.2","0.3","0.08","12.2","0.003","1.4"
"Southern","SM11","2023-10-20","1","Middle Water","<0.1","0.089","1.4","143","9.6","1","2","0.066","0.032","0.017","7.9","0.2","31.3","2.3","1","5.8","26.6","0.19","0.2","0.3","0.05","5.5","0.003","1.2"
"Southern","SM11","2023-10-20","1","Bottom Water","<0.1","0.11","1","108","7.3","2","8","0.067","0.039","0.022","7.8","0.4","31.4","2.3","1.1","12","26.7","0.22","0.22","0.33","0.05","7.6","0.004","1.4"
"Southern","SM11","2023-11-02","1","Surface Water","<0.1","0.03","9.9","87","5.8","<1","3","0.24","0.074","0.009","7.7","6.1","31.2","2.2","0.55","6.3","26.8","0.34","0.19","0.5","0.06","1.6","<0.001","2.1"
"Southern","SM11","2023-11-02","1","Middle Water","<0.1","0.027","12","108","7.2","1","1","0.14","0.065","0.012","7.7","7.3","31.2","2.2","0.52","4.8","26.8","0.23","0.24","0.45","0.05","1.5","<0.001","1.6"
"Southern","SM11","2023-11-02","1","Bottom Water","<0.1","0.024","10","103","6.9","<1","4","0.15","0.069","0.011","7.7","6.7","31.4","2.2","0.58","5.8","26.6","0.24","0.21","0.43","0.06","1.4","<0.001","1.6"
"Southern","SM11","2023-12-04","1","Surface Water","1","0.083","2.9","113","7.9","1","2","0.24","0.06","0.01","8.1","0.6","32.4","2.1","0.86","1.8","23.7","0.38","0.16","0.46","0.09","3.5","0.004","0.5"
"Southern","SM11","2023-12-04","1","Middle Water","1","0.055","3","142","10","1","1","0.15","0.059","0.02","8.1","0.8","32.5","2.1","0.85","2.7","23.5","0.26","0.17","0.38","0.09","3.6","0.003","0.8"
"Southern","SM11","2023-12-04","1","Bottom Water","0.8","0.06","2.9","78","5.5","<1","<1","0.15","0.059","0.014","8.1","0.8","32.5","2.1","0.85","3.9","23.3","0.27","0.29","0.5","0.06","4.2","0.003","1"
"Southern","SM12","2023-01-11","1","Surface Water","0.3","0.094","1.1","77","5.9","1","5","0.097","0.031","0.016","7.3","1.2","33","1.8","0.95","10","18.4","0.22","0.59","0.72","0.15","4.3","<0.001","1.7"
"Southern","SM12","2023-01-11","1","Middle Water","0.5","0.09","0.7","86","6.6","5","11","0.12","0.031","0.019","7.3","1","33","1.8","1","11","18.4","0.24","0.54","0.69","0.2","5","<0.001","1.1"
"Southern","SM12","2023-01-11","1","Bottom Water","0.4","0.082","0.6","87","6.7","2","4","0.095","0.031","0.018","7.3","0.9","33","1.8","0.97","13","18.4","0.21","0.59","0.72","0.09","5.1","<0.001","1.6"
"Southern","SM12","2023-02-01","1","Surface Water","1.7","0.026","23","118","9.3","<1","1","0.03","0.004","<0.002","7.7","2.7","33","2.7","0.12","4.9","17","0.06","0.74","0.77","0.04","1.3","<0.001","1.8"
"Southern","SM12","2023-02-01","1","Middle Water","1.9","0.028","23","141","11.2","1","1","0.028","0.004","<0.002","7.7","3.2","32.8","2.7","0.14","3.9","16.8","0.06","0.82","0.85","0.04","2.6","<0.001","1.9"
"Southern","SM12","2023-02-01","1","Bottom Water","1.9","0.038","25","135","10.8","<1","2","0.035","0.005","<0.002","7.7","3.5","32.8","2.7","<0.05","4.1","16.8","0.08","0.83","0.87","0.05","3.7","<0.001","1.6"
"Southern","SM12","2023-03-03","1","Surface Water","0.6","0.16","1","83","6.3","1","2","0.13","0.011","0.014","7.2","<0.2","33.2","1.8","0.79","6.3","19.4","0.3","0.79","0.93","0.06","7.7","<0.001","0.9"
"Southern","SM12","2023-03-03","1","Middle Water","0.6","0.13","1.3","88","6.7","14","22","0.11","0.008","0.018","7.2","<0.2","33.1","1.8","0.77","18","19.3","0.25","0.7","0.82","0.06","6.1","<0.001","2.5"
"Southern","SM12","2023-03-03","1","Bottom Water","0.6","0.13","0.9","89","6.8","9","14","0.11","0.009","0.009","7.2","0.6","33.4","1.8","0.79","7.6","19.1","0.25","0.64","0.76","0.06","14.7","<0.001","0.9"
"Southern","SM12","2023-04-06","1","Surface Water","0.4","0.16","1.2","76","5.4","19","160","0.095","0.007","0.018","7.2","0.5","33.5","2.6","0.87","3.3","22.3","0.26","0.65","0.75","0.07","2.4","<0.001","0.7"
"Southern","SM12","2023-04-06","1","Middle Water","0.3","0.13","1.2","89","6.4","45","63","0.072","0.007","0.017","7.2","0.5","33.5","2.6","0.81","4.8","22.1","0.21","0.6","0.68","0.07","3.7","<0.001","<0.5"
"Southern","SM12","2023-04-06","1","Bottom Water","0.4","0.11","1.4","90","6.4","65","88","0.072","0.006","0.016","7.2","<0.2","33.5","2.6","0.81","7","22.1","0.19","0.41","0.49","0.06","3.5","<0.001","0.6"
"Southern","SM12","2023-05-04","1","Surface Water","1","0.06","0.9","105","7.2","1","1","0.085","0.004","<0.002","7.7","0.7","32.6","3.3","0.12","7.6","25.3","0.15","0.32","0.41","0.04","0.1","0.001","1.2"
"Southern","SM12","2023-05-04","1","Middle Water","0.8","0.057","0.7","108","7.4","7","12","0.031","0.003","<0.002","7.6","0.3","32.8","3.3","0.12","3.3","24.9","0.09","0.41","0.44","0.04","1.6","0.001","0.9"
"Southern","SM12","2023-05-04","1","Bottom Water","0.8","0.052","0.5","106","7.3","12","18","0.036","0.005","0.011","7.6","0.7","32.9","3.3","0.12","8.3","24.6","0.09","0.46","0.5","0.04","2","<0.001","1.4"
"Southern","SM12","2023-06-19","1","Surface Water","0.4","0.023","1.7","63","4.2","<1","<1","0.38","0.095","0.01","8","<0.2","26.1","2.5","1.9","2.1","29","0.5","0.47","0.95","0.04","1.5","0.001","1.2"
"Southern","SM12","2023-06-19","1","Middle Water","0.2","0.022","1","82","5.5","4","5","0.36","0.095","0.011","8","0.8","26.2","2.5","1.9","2.6","28.8","0.48","0.33","0.79","0.04","0.9","0.001","2.2"
"Southern","SM12","2023-06-19","1","Bottom Water","1.6","0.049","0.9","64","4.3","39","64","0.29","0.083","<0.002","8","1.1","27.8","2.5","2","3.2","27.9","0.42","0.38","0.75","0.03","0.7","0.002","1.7"
"Southern","SM12","2023-07-24","1","Surface Water","4","0.011","21","103","6.6","100","170","0.011","<0.002","0.004","8.6","8.3","29.2","2","<0.05","5.2","30","0.02","0.71","0.72","0.04","2.8","0.002","3"
"Southern","SM12","2023-07-24","1","Middle Water","3.7","0.008","20","154","10","53","130","0.008","<0.002","<0.002","8.4","7.5","29.7","2","<0.05","5","29.4","0.02","0.77","0.78","0.05","2.4","0.001","3"
"Southern","SM12","2023-07-24","1","Bottom Water","2.9","0.02","31","104","6.8","17","33","0.025","<0.002","<0.002","8.2","10","30.9","2","0.13","5.4","28.7","0.05","0.8","0.83","0.06","3.2","0.002","3"
"Southern","SM12","2023-08-18","1","Surface Water","1.3","0.06","12","87","5.8","9","14","0.16","0.042","<0.002","8.1","2.8","30.2","2","0.64","8.2","27.6","0.26","0.2","0.4","0.03","12.3","0.004","2.7"
"Southern","SM12","2023-08-18","1","Middle Water","1.2","0.054","10","76","5.1","6","10","0.16","0.042","<0.002","8","3.9","30.2","2","0.77","6","27.6","0.26","0.18","0.38","0.03","14.6","0.003","3"
"Southern","SM12","2023-08-18","1","Bottom Water","1.5","0.064","6.6","84","5.6","9","15","0.16","0.058","0.006","7.9","3.4","30.4","2","1.4","3.1","27.5","0.28","0.16","0.38","0.03","12.7","0.003","1.4"
"Southern","SM12","2023-09-20","1","Surface Water","1.6","0.041","17","155","10.2","26","76","0.15","0.028","<0.002","8.1","19","28.3","1.6","0.25","3.7","28.8","0.22","0.32","0.5","0.07","2.8","0.003","1.2"
"Southern","SM12","2023-09-20","1","Middle Water","1.3","0.039","22","147","9.8","49","130","0.15","0.027","<0.002","8","7.4","28.8","1.6","0.14","4.3","28.4","0.22","0.4","0.58","0.08","2.3","0.002","1.2"
"Southern","SM12","2023-09-20","1","Bottom Water","1.1","0.033","19","123","8.1","90","160","0.15","0.026","<0.002","7.9","9.1","29.7","1.6","0.23","4.6","28","0.21","0.17","0.35","0.06","3.5","0.002","1.1"
"Southern","SM12","2023-10-20","1","Surface Water","0.2","0.083","1","114","7.6","80","90","0.064","0.035","0.018","7.9","0.2","31.7","2","0.99","12","26.8","0.18","0.2","0.3","0.06","9.5","0.003","1.6"
"Southern","SM12","2023-10-20","1","Middle Water","<0.1","0.067","0.9","133","8.9","100","180","0.053","0.036","0.016","7.9","<0.2","31.6","2","0.96","12","26.7","0.16","0.25","0.34","0.07","9.5","0.002","2"
"Southern","SM12","2023-10-20","1","Bottom Water","<0.1","0.047","0.9","164","11","50","88","0.041","0.035","0.015","7.9","<0.2","31.8","2","0.89","24","26.6","0.12","0.2","0.28","0.05","15.6","0.002","2.6"
"Southern","SM12","2023-11-02","1","Surface Water","<0.1","0.016","9.5","90","6.1","5","8","0.14","0.074","0.012","7.7","6.5","31.4","1.7","0.59","4","26.6","0.23","0.15","0.36","0.05","1.6","<0.001","1.4"
"Southern","SM12","2023-11-02","1","Middle Water","<0.1","0.022","11","108","7.3","8","19","0.13","0.072","0.009","7.7","5.6","31.4","1.7","0.54","7.5","26.8","0.22","0.29","0.49","0.06","1.3","<0.001","2.2"
"Southern","SM12","2023-11-02","1","Bottom Water","<0.1","0.027","11","100","6.7","59","110","0.12","0.062","0.012","7.7","5.5","32.2","1.7","0.62","7.3","26.3","0.21","0.22","0.4","0.06","1.1","<0.001","1.7"
"Southern","SM12","2023-12-04","1","Surface Water","0.8","0.021","1.5","88","6.2","12","23","0.098","0.071","0.013","8.1","<0.2","32.8","1.7","0.89","10","23.3","0.19","0.13","0.3","0.1","7.2","0.001","1.7"
"Southern","SM12","2023-12-04","1","Middle Water","0.8","0.02","1.3","88","6.2","21","38","0.095","0.072","0.014","8.1","0.3","32.8","1.7","0.87","6.3","23.3","0.19","0.14","0.31","0.1","7.3","<0.001","0.8"
"Southern","SM12","2023-12-04","1","Bottom Water","0.7","0.014","1.6","88","6.2","29","50","0.071","0.071","0.005","8.1","<0.2","32.8","1.7","0.87","6.1","23.2","0.16","0.38","0.52","0.05","7.5","<0.001","0.7"
"Southern","SM13","2023-01-11","1","Surface Water","0.3","0.034","1","79","6.1","6","8","0.091","0.03","0.016","7.4","0.5","33.1","2.1","0.98","14","18.4","0.16","0.64","0.76","0.11","7","<0.001","1.8"
"Southern","SM13","2023-01-11","1","Middle Water","0.2","0.037","0.6","90","6.9","7","8","0.095","0.029","0.016","7.4","0.6","33.1","2.1","1","7.3","18.4","0.16","0.54","0.66","0.1","6","<0.001","0.8"
"Southern","SM13","2023-01-11","1","Bottom Water","0.5","0.034","1.1","90","6.9","10","10","0.087","0.03","0.017","7.4","<0.2","33.1","2.1","1","17","18.4","0.15","0.58","0.7","0.09","6.2","<0.001","2.4"
"Southern","SM13","2023-02-01","1","Surface Water","1.1","0.015","14","118","9.3","<1","<1","0.037","0.006","<0.002","7.7","0.8","32.8","3.1","0.11","4.7","17.5","0.06","0.67","0.71","0.04","1.6","<0.001","1.6"
"Southern","SM13","2023-02-01","1","Middle Water","1.3","0.018","17","127","10.1","<1","<1","0.037","0.006","<0.002","7.7","1.9","32.8","3.1","<0.05","4.9","17.1","0.06","0.8","0.84","0.04","1","<0.001","1.6"
"Southern","SM13","2023-02-01","1","Bottom Water","1.8","0.03","18","140","11.1","<1","<1","0.045","0.007","<0.002","7.7","2.2","32.8","3.1","0.11","3.6","16.8","0.08","0.8","0.85","0.04","1.6","<0.001","1.8"
"Southern","SM13","2023-03-03","1","Surface Water","0.8","0.12","0.9","73","5.5","27","32","0.12","0.009","0.02","7.3","1","33.2","1.9","0.82","6","19.2","0.25","0.76","0.89","0.07","8.2","<0.001","1"
"Southern","SM13","2023-03-03","1","Middle Water","0.8","0.11","0.9","83","6.3","29","37","0.1","0.008","0.009","7.3","0.9","33.3","1.9","0.85","4.8","19.3","0.22","0.6","0.71","0.17","8","<0.001","0.7"
"Southern","SM13","2023-03-03","1","Bottom Water","1","0.11","0.6","89","6.8","38","49","0.11","0.008","0.019","7.3","0.9","33.3","1.9","0.83","10","19.2","0.23","0.71","0.83","0.06","8","<0.001","1.4"
"Southern","SM13","2023-04-06","1","Surface Water","0.5","0.11","0.7","81","5.8","6","740","0.072","0.007","0.017","7.2","1","33.5","2.3","0.85","4.5","22.2","0.19","0.5","0.58","0.07","3.8","<0.001","0.6"
"Southern","SM13","2023-04-06","1","Middle Water","0.4","0.11","1.1","88","6.3","25","33","0.069","0.007","0.017","7.2","0.6","33.6","2.3","0.82","5.6","22.1","0.19","0.68","0.76","0.07","3.9","<0.001","<0.5"
